Frase,Groundtruth,Predicción
" Pero no era suficiente y nos parecía que, además de parar el choque y descender algunas de estas medidas, como decía hasta el 30 de septiembre, para dar también tranquilidad al sector mientras se va recuperando, pues pusimos en la agenda los planes de impulso.",1,0
 Pablo Iglesias has not spoken has not even spoken on social media.,1,1
" Je me tourne également vers le rapport rendu public hier par le ministère de la Santé qui indique que le deuxième groupe d’éclosions le plus fréquent est celui lié au lieu de travail d’environ 27 p. 100 et, dans le domaine du travail, les éclosions liées aux travailleurs du secteur horticole dans des situations vulnérables 27 éclosions, 410 cas ou ministres.",1,1
 Esto de que te tienes directamente la ministra.,0,0
" Su objetivo no es en ningún caso enmendar los datos y las cifras de los portales inmobiliarios y aportacion sin duda valiosa, aunque sea una información más limitada y parcial, más dirigida al propio mercado.",0,0
" Not only has she been minister of Sanchez's government, but she was also a candidate of the Socialist Party in the last general election.",1,1
 El alcalde Almeda gracias.,0,0
" Hombre, la verdad es que venimos en estos momentos de crecimientos del 3 por ciento del 2 largo tal, pero con déficit del 2,8.",1,1
" Ahí está la Ley de Economía circular, ahí está el ingreso mínimo vital.",0,1
" Le roi émérite ne s’enfuit de rien parce qu’il n’est pas dans une cause inébranlable, il décide simplement de quitter le pays",1,1
" Nos dicen también los científicos, ministro, que en dos meses podríamos tener tratamientos efectivos más allá del rendell cibir.",0,1
" Hay mucha gente que no lo sabe, pero nuestro país es un país que en fibra óptica, en extensión, tiene la misma extensión que la suma de países tan importantes como Alemania Francia Italia, Reino Unido y Portugal juntos.",1,1
" Sanidad Is the Government of Spain, is the minister of.",0,0
 Du début à la fin.,0,0
 Puis il m’a avoué qu’il sortait tous les matins pour faire passer une labrador noire dans la brousse.,0,0
 Señores.,0,0
 Sometimes he says my company tells me that everything is well done.,0,0
 You have to recognize it for life.,0,0
" Y lo lamentable, efectivamente es que ayer esa Unión no saliera del Parlamento Europeo, como sabéis.",0,0
" Hier, le Conseil des ministres a finalement approuvé le plan Renove.",1,1
 We come from some very tough EPA data.,0,0
" En el caso de Navarra Suma conseguimos ganar las elecciones y el pacto de María Civit con el PNV y con la marca blanca del PNV y sobre todo con los con los herederos de ETA, ha posibilitado que el Partido Socialista al Gobierno de Navarra y no lo hagan los constitucionalistas de Navarra suma.",1,1
 Por qué no nos explica de una vez qué pasó con la tarjeta de su asesora digna?,0,0
" Of course I have nothing to rebuild and also a very important thing to be able to rebuild, they have to rebuild first on the truth and without knowing the truth of the deceased of what has happened and without knowing the truth of what has passed the residences.",0,0
" Y ojalá, ojalá es una obsesión de este ministro de intentar conseguir los acuerdos del mayor arco parlamentario como ha ocurrido la semana pasada, con algo muy importante en materia de justicia.",0,0
 Damos por completamente descartado que el PP vaya a pactar unos presupuestos con el Gobierno.,0,0
 No se pueden poner banderas que no sean las que el Tribunal Supremo ha dicho que son la bandera española y la de la Comunidad de Madrid en este caso.,1,1
" We have known this morning that the Minister of Agriculture of the Government of Spain has announced a possible tax on Spanish wines, the wines of Rioja Alavesa may have a tax in the United States.",1,1
 Esta mañana leí alguna información que apuntaba a coaliciones provinciales únicamente Lérida y en Gerona.,1,1
 Entiende la medida?,0,0
 Un encuentro entonces presencial.,0,0
 Not for nothing is 12% of the Gross Domestic Product in Spain tourism activities and therefore needs our tourism entrepreneurs the maximum support from public administrations.,1,1
" Radiotelevisión Española, en la exhumación de un dictador del dictador Franco llevó a cabo una retransmisión histórica con decenas de profesionales del ente trabajando en esa retransmisión.",1,1
" And we also propose tax drops, tax drops, as is being done in Germany as is being done in Italy which is a country by the way, ruled by the left.",1,1
" Nous avons 51000 toilettes infectées dans toute l’Espagne, 15 pour cent de la main-d’œuvre.",1,1
" Last year the Costa del Sol the province of Malaga reached a record 13 million tourists who chose Malaga, the province to spend their holidays.",1,1
 Nous avons une bien meilleure vision de la façon dont nos hôpitaux doivent agir sur la façon dont nous devons agir et individuellement comment nous devons agir.,0,0
" This has been called by a reservist political party, but that was in the Cajal Plan of the People's Party that we announced.",0,1
 Des travailleurs familiaux entiers se sont soudainement retrouvés sans revenu.,1,1
" And that we have to get used to diversifying our lives and our relationships and prioritizing life itself, the very existence over consumption.",0,0
" Ce qu’il doit faire (les Églises) c’est quitter le Conseil des ministres, parce qu’il l’a demandé pour les autres, parce que sa bibliothèque est là et si sa parole vaut quelque chose, ce qu’il doit faire est de partir.",1,0
" Nous ne parlons pas du système de santé catalan, nous ne parlons pas des taux de dépendance en Catalogne qui sont les pires en Espagne.",1,1
" Hasta hace no mucho tiempo España confinaba todas las personas que llegaban de países terceros como confinaba, como se como estaban confinados los ciudadanos españoles en sus hogares.",1,1
" Malheureusement, cela n’a pas été réalisé ces dernières années et probablement depuis 1978 en aucune occasion, et c’est pourquoi nous demandons maintenant la cohérence.",1,1
 Le seul objectif qu’ils ont est de chasser Alberto Núñez Feijóo de la Xunta de Galicia qu’il a montré continue de prouver qu’il est le meilleur président pour tous les Galiciens.,1,0
 I think there's a lot of things we need to go ahead of.,0,0
 Es decir le preocupa que haya una carrera entre países para evitar el desabastecimiento?,0,0
" El año pasado la Costa del Sol la provincia de Málaga alcanzó una cifra récord de 13 millones de turistas que escogieron Málaga, la provincia para pasar sus vacaciones.",1,1
 And one of those changes is clearly expressed in the first-time coalition government formula in our recent democracy in which this operates and has other procedures and a default coalition government.,1,1
 It is the first ERE that a category hotel like don Carlos de Marbella has put on the table.,1,1
 I had asked her to assess the situation by Mrs. Gamarra People's Party.,0,0
" But in the last year 50,000 freelancers have closed the blind.",1,1
 So what was an assessment on this matter and ask him if he thinks it should be investigated.,0,0
La conditionnalité macroéconomique n’est en aucun cas appliquée dans l’accord conclu. Il n’y a en aucun cas d’intervention de la souveraineté des pays.,1,1
" We have had 14 conferences of regional presidents, with social agents with employers with trade unions.",1,1
 Of those hundreds of thousands of Basques who were expelled with violence with terrorism and who are not now on the electoral roll.,1,1
 Agradecer que no lo he dicho anteriormente.,0,0
" Nationaliste Ces portes tournantes pour ceux qui ont une carte du Parti basque et une carte du Parti socialiste ici sur cette terre, et c’est pourquoi ils ne sont pas intéressés par une bonne gestion, ils l’ont mis de côté.",0,0
" The Commission's opinions have no regulatory force, they do not represent anything, it has no consequence and they do not become a rule and the Government cannot take it into account not to take it into account.",1,1
" La dernière est celle de la Commission européenne qui affirme que l’Espagne sera l’un des pays les plus punis par une baisse du produit intérieur brut avec les niveaux de chômage qui se présenteront en Espagne en fonction de l’aide européenne, bien sûr.",1,1
 Freedom is the first thing we have to have and you know that we are with you well.,0,0
 Gracias para atender la llamada de cuatro alean saludo.,0,0
 De esos centenares de miles de vascos que fueron expulsados con la violencia con el terrorismo y que ahora no están en el censo electoral.,1,1
 For a long time our common project was to fight totalitarianism.,0,0
" Ils sont bons, nous les soutenons et quand nous ne le faisons pas, parce que nous ne les soutenons pas.",0,0
"Since 2012, city councils could not have the remaining surplus",1,1
" Every day they equal 28 million jobs or jobs, rather full-time.",1,1
" Hubo rebelión de alcaldes, no solamente alcaldes del Partido Popular, también de otros muchos partidos que se plantaron.",1,1
" The symmetry in terms of the epidemiological situation, as you have pointed out, is very diverse and destinations that are below seven in incidence and others that exceed 100, for example.",1,1
" We have no assistance pressure in our health system, so we are at the moment much better than in March",1,1
" Anyway, all of this requires a script and requires a unique health authority.",0,0
 What Europe points out is austerity.,0,0
" La primera va a ser el próximo fin de semana, donde tenemos una operación, una primera salida operación del verano entre los días viernes 3 de julio hasta el domingo 5 de julio.",0,1
" Au niveau structurel, sans parler de ceux qui, pendant la pandémie, ont dû profiter d’un arrêt temporaire de l’activité ou de ce que Fedea a dit, peut signifier un retour à l’été, dans lequel on estime qu’il peut y avoir un million de chômeurs de plus en dehors des intérêts dont, comme l’Institut l’a dit, beaucoup peuvent être autonomes.",1,1
 Y en ese sentido es por lo que es importantísimo el papel que tiene el Ministerio de Sanidad y el Ministerio de Sanidad dentro de el Consejo de Ministros de Sanidad de la Unión Europea.,1,1
" Y por tanto, los tres elementos son del más estricto sentido común.",0,0
 C’est précisément mon parti citoyens qui a essayé d’atteindre depuis la première minute.,0,0
 I myself meet with all sectors of the educational community and have also met with the Episcopal Conference.,0,0
 Very well valued by the tourists who visit us and I hope that very soon we can have control of buds that are certainly generating mistrust and recover a volume of tourists who want to come to Spain who want to enjoy their holidays in Spain as normal as we have had just a few days ago.,0,0
" Las becas, que son mil novecientos millones, un 22 por ciento más de lo que había.",1,1
 Porque hay veces que las empresas no pueden pedir esos créditos ICO porque tienen una estructura de deuda que se lo impide.,1,0
" Mr Sánchez and Mr Tezanos, who are paying for it, all Spaniards, is a real scandal.",0,0
" Venimos de unas horas en las que se ha demostrado que el Gobierno de España en vez de trabajar por fomentar el turismo, lo que hace es atacarlo.",0,0
" Nous discutons s’il y a un Espagnol qui, en raison de la couleur supposée de son sang ou de son nom de famille, est au-dessus des lois et de la responsabilité.",0,0
" We have done this by mobilizing resources in the midst of this economic crisis, resources of 2.5 billion euros to accompany the humanitarian crisis in Venezuela and Venezuela and the countries bordering Venezuela 2.5 billion euros.",1,1
 Il est à la traîne par rapport aux autres économies de l’Union européenne et l’exécutif est toujours absent.,1,1
 Qu’est-ce que cette lettre dit?,0,0
" Pues igual, lo mismo digo gracias a Dios.",0,0
" S’il y a des groupes politiques populistes, démagogiques, nationalistes, indépendants qui tentent de l’attaquer, c’est parce que ce sont des forces politiques qui ne croient pas en l’unité de ce pays, qui ne croient pas en l’avenir de ce pays et qui ne nous trouveront pas, logiquement dans ce débat, des citoyens, parce que nous croyons en la Constitution de 1978.",0,0
" Siempre hemos estado siguiendo las recomendaciones que nos hacían las autoridades sanitarias españolas, los científicos en España y las autoridades sanitarias europeas e internacionales.",1,1
 Y todos hemos sentido que se han producido hechos violentos contra nuestros hombres y mujeres en un 85 por ciento&nbsp;,1,1
" Y eso pasa también porque el Gobierno cuente a la ciudadanía los detalles que la ciudadanía quiere creer, quiere saber.",0,0
" I have raised from the outset that the system of social buffering that has been the ERTE and that cost a huge effort of public resources that are of all, we carry to this day not an investment of 8 billion euros",1,1
" Pero fíjese, le cuento una última hora del turismo y la hostelería sin caer de nuevo el IPC hasta el 0,6 por ciento.",1,1
" You remember what they said about the Minimum Vital Income, the focus on employment.",1,0
" También recordar que hubo 23 fallecidos en turismo o furgoneta que no usaban el cinturón de seguridad, lo que refería anteriormente a algo absolutamente todavía extraño de concebir que alguien cuando sube a un vehículo de forma instintiva no se coloque directamente el cinturón de seguridad.",1,1
 On veut parler.,0,0
El propio Pedro Sánchez está de vacaciones en una finca que otro rey saudí le regaló a Juan Carlos.,1,1
" Je ne sais pas ce que vous semblent les déclarations de l’enseignement du maire, parce que ce qui est une insulte, c’est qu’un parti au Conseil des ministres se consacre à attaquer les institutions.",0,0
 Il y a une loi citoyenne qui nous a déjà présenté une loi au Congrès des députés.,1,1
" Eh bien, ce sont certainement des données dramatiques.",0,0
" Es evidente que ahí hay un problema de legalidad y el Gobierno de la Nación estaba avisado de ello y sin embargo, no ha tomado medidas hasta ahora.",1,1
 El presidente Casado siempre ha dicho lo mismo y lo ha dicho además en las Cortes Generales y ayer desgranó ese plan jurídico y además le dijo a Pedro Sánchez una cosa muy clara si usted quiere nos sentamos a negociar y en el mes de agosto tenemos un marco jurídico claro para que todas las comunidades autónomas sepan lo que tengan que hacer.,0,1
" Ils ont été victimes de cette situation, mais à leur tour, ils ont été au centre de la contagion et la surveillance de ces travailleurs a été très compliquée.",1,1
 Por lo tanto nosotros donde estamos es en impulsar estas.,0,0
" Finally, this broad agreement has been reached in the health bloc in the European bloc and in the economic revival bloc.",1,1
" Si esto puede ocurrir ahora, yo también veo signos positivos.",0,0
 C’est aussi.,0,0
 Siempre hay alguien y las autoridades sanitarias están controlando los brotes según van saliendo.,1,1
 On ne s’est pas souvenu d’un chiffre similaire tout au long de la série enregistrée.,1,1
 That there are a dozen countries that either impose restrictions or at least ask tourists for caution when arriving in our country.,1,1
 I'm not surprised at all.,0,0
 We are very comfortable with a discussion of conditions in which we talk about what priorities this funding is going to be on.,0,0
" Well, Juan Carlos Campo, Minister of Justice, thank you for having accompanied us this morning, today for traveling with pleasure.",0,0
 Se ha desinflado con la pandemia.,0,0
 If the first time unemployment grows in a month of June.,1,1
" Consider, for example, that the University of Oxford, by studying the relative position of countries in terms of GDP and their potential with respect to global positioning in the industry, placed Spain at the tenth level.",1,1
 And to me this seems to be one of the great news.,0,0
" Eso dice el Partido Socialista, son socialistas Finlandia, Gobierno socialista, Suecia Gobierno socialista, Dinamarca Gobierno socialista y el único Austria gobierno de coalición del Partido Popular con los verdes.",1,1
 Comprenez-vous la mesure?,0,0
" And I think that citizenship is shocked precisely because the one who has been head of state for more than forty years, because it hopes that the institutions of this country will be respected and taken care of.",0,0
" Los datos los tenemos, desde luego nosotros lo sabemos.",1,0
 You mentioned Fernando's case.,0,0
 We can and are united. We can win two general elections in the Basque Country and SE.,1,0
" That is the great choice we have, because we have presented a real plan for improvement of the primary sector, a real plan to promote recruitment and the incorporation of young people into the primary sector, because without this sector they seem to be very in accordance with what I am saying.",0,0
" Car je ne vois pas quoi faire avec le roi émérite, le roi émérite ou une personne comme je le dis 82 ans, qui n’est pas dans une affaire judiciaire aujourd’hui",1,1
" In the event that the company committee does not accept this last bid from Nissan, they would have to go to trial for about 18 months or close a negotiation without agreement.",0,1
" Pues de hecho, como digo hemos registrado una propuesta para bajar impuestos, bajar el IVA, prorrogar, prorrogarlo fuertes hasta 2021 primer trimestre en 2021, porque muchas empresas que han sido azotadas por esta pandemia, que van a sufrir una importante crisis económica, necesitan que se les dé la máxima agilidad posible.",0,1
" Madrid est construite sur la vérité, pas avec le parti négligent et la partie criminelle qui nous a emmenés là où nous sommes et celui qui nous mènera à la plus grande crise sociale et économique qui a été vu en Espagne ces dernières années.",1,0
 Look at you making reforms by the right way or all this we're talking about is not the mana of heaven.,0,0
 Vamos a aprobar este paquete de medidas.,0,0
" Esta interpretación que le oí en muchos diarios que dicen los pequeños en los países con menos peso, se han unido o se han rebelado.",1,1
" Recuerden que tuvo una incidencia positiva el hecho de que se acordara que modificara el límite de velocidad de los 100 kilómetros a 90 kilómetros y en esos términos, subrayar como la reducción del número de fallecidos en las carreteras convencionales fue estimable.",1,1
" Está sometido a debate, pero ayer había enmiendas muy claras por parte del Partido Popular en este aspecto y fueron rechazadas por el Partido Socialista.",1,1
 L’Espagne est le deuxième pays de l’Union européenne où les cas de coronavirus augmentent le plus.,1,1
" C’est la proposition du Parti socialiste et est l’un des quatre juges dont le mandat avait pris fin et était en attente de renouvellement, préservant le principe de la présomption d’innocence.",1,1
" What he has to do (Churches) is to leave the Council of Ministers, because he asked for it for others, because his library is there and if his word is worth anything, what he has to do is to leave.",1,0
" S’il avait remporté la présidence, l’Eurogroupe n’est pas seulement compatible avec le ministre de l’Economie, mais il est nécessaire d’être un ministre de l’économie exerçant pour occuper ce poste de présidence de l’Eurogroupe donc au sein d’un gouvernement espagnol.",1,1
" Du Parti populaire, la première chose que nous voulons dire, c’est que nous avons une grave préoccupation parce que nous voyons un gouvernement qui a une volonté claire d’affaiblir les institutions, nous soutiendrons toujours que le Parti populaire, l’institution monarchique et le roi, l’hypertexte et les autres questions qui devront être tranchées devant les tribunaux ou le cas échéant.",0,0
 And the Government itself could well strengthen the powers of the High Health Inspectorate among the Autonomous Communities.,1,1
" Pablo Iglesias est aujourd’hui vice-président du gouvernement, parce que Pedro Sanchez veut que Podemos siège aujourd’hui au Conseil des ministres parce que c’est ce que le président du gouvernement a décidé.",1,1
 They began to talk about how economic indicators showed a problem in our economy and in the world economy.,1,0
" Están utilizando mecanismos informáticos muy rudimentarios o muy primitivos como son la utilización de hojas de Excel o el envío de mensajes SMS, que los recursos que se han destinado para tratar esta epidemia son insuficientes y que además no debería pasar ni ni en la primera oleada y mucho menos en una segunda oleada.",1,1
 Es verdad que no está inmerso ninguna causa y eso es un dato objetivo,1,1
 We want legal certainty for companies.,0,0
 Let us keep you in a government that is up to the needs and challenges we have in the whole state.,0,0
 It's been a pleasure as usual.,0,0
" Mais Sanchez, je ne peux pas contribuer beaucoup plus.",0,0
" Un réseau épais de protection sociale pour les travailleurs aux employeurs, aux travailleurs indépendants, aux groupes qui se sont rendus vulnérables en raison de la crise alimentaire dans leurs aspects économiques et sanitaires.",0,0
 Obviously it has to be a unanimous vote.,0,0
" Par exemple, il existe un système très visuel qui utilise dans ce cas le gouvernement belge par l’intermédiaire de son ministère des Affaires étrangères.",1,1
" Tous ces vols ont été contrôlés, la température a été contrôlée, qui est arrivé et a été situé à la maison.",1,1
 Les heures passées pourraient représenter plus de 30 p. 100 de plus que les heures consacrées au travail productif.,1,1
 We have tens of thousands of uninhabited flats,1,1
" Return again to the same more infected than anyone else, more people hospitalized and more sanitary infected.",1,1
 We in just over five months will provide a contribution of resources or in this year 9 billion euros in public health alone to our private communities.,1,1
" In the case of Malaga, 63000 650000 autonomous have undoubtedly benefited a network, as I said of security with the very important ICO liquidity lines more than 15000 Malaga companies and 2000 million euros that, as I said, have allowed to stop the clash.",1,1
" Hier, les frontières des pays schengen ont été ouvertes.",1,1
 Reino Unido tiene 8000 radares.,1,1
 Aussi pour mettre l’économie supplémentaire en trois semaines qui est le plus.,0,0
 Il s’agit d’un engagement de l’exécutif réitéré à plusieurs reprises par le Président du Gouvernement.,0,0
" We have not even been informed of the progress and in this case also by the statements of the Vice-President of the Government accusing the frugal countries of the attacks on Spain, they have not helped, especially when these countries three of them are socialists.",1,1
 C’est là que tu gagnes aussi.,0,0
" We know that we need to promote different mobility, a different relationship in our metropolitan areas, but also in medium and long-term mobility.",0,0
" Fuentes Gago, Eugenio Pino, who was credited in a parliamentary committee with all parties present, that the People's Party created a paralycial and media structure to cover up its corruption, while attacking their political rivals with the PISA report.",1,1
 Moreno Bonilla ni Ayuso to replace Casado.,0,0
 Et voici ce qu’il a dit.,0,0
" Il y a des questions telles que les réserves stratégiques, mais il a également mis en place un plan de ressources humaines pour la stabilité de l’emploi et les politiques de rémunération qui ont été adoptés hier dans le cadre des amendements que nous avions proposés.",1,1
 Y la segunda pregunta es hablaba el señor Bono hablando de condiciones a las empresas que tienen que cumplir con una serie de condiciones para recibir dinero?,0,0
" Others came with the questions and answers written before we listened, because we worked to the end, to the end.",0,0
 C’est ce grand PP des 10 millions de votes de l’année 2011.,1,1
 Algo para Ana Pastor y ya remataba las dos preguntas.,0,0
" Minister, I want to ask you about that star cover that starred us a few weeks ago dressed as an astronaut in your office.",0,0
" Ya hay 8 millones de españoles más que hace 4 años, que tienen un presidente autonómico popular y hay 3 millones más de vecinos que tienen un nuevo alcalde del PP en los últimos 4 años.",1,1
 Y además se va a dar una una algo importante por primera vez que es que el gobierno por primera vez se financia de las entidades locales y no al revés.,1,1
" No queremos a los españoles desiguales, no queremos a los españoles desiguales por donde han nacido y esto yo creo que lo entienden la mayoría de los españoles y solo se atreve a proponerlo Vox.",0,0
" Ce qui a échoué ici, c’est que le 30 janvier, une alerte a été donnée par l’Organisation mondiale de la santé et qu’aucun cas n’a été fait et qu’aucune réserve d’EPI n’était disponible ou quoi que ce soit.",1,1
 A government that also advanced the Government of the Nation in the adoption of measures against the fight against the virus.,1,1
" Sans aller plus loin, l’an dernier, les Américains ont dépensé plus de 6 milliards d’euros ici en Espagne.",1,1
" Usted estaba señalando al coronel, no como digamos representante de la Policía o no?",0,0
" But if that expression draws attention, it is not a family business that I do not know to what extent that strategy of defense can even question that short firewall that has been designed around the figure of Philip Sixth.",0,0
 Les écarts augmentent également le nombre de décès.,1,0
 Nous avons besoin que les entreprises puissent payer moins cher.,0,0
" We are talking about many companies and a lot of activity that is abroad, so that we have gone from 22% share of GDP of internationalization to 34.",1,1
 Su partido votó en contra de dotar al Gobierno de España del mando único que ahora reivindica la única manera de contar con un mando único en manos del Gobierno de España con el Partido Popular.,1,1
 Nous allons obtenir plus de moyens là-dessus.,0,0
" But we have to do it on new foundations, on a much stronger basis.",0,0
" Many of them still have third countries, they still have their borders closed.",1,1
 Le secteur de l’olive de table a été doublement touché par ces droits de douane et l’enquête précédente d’il y a un an et demi sur l’aide au dumping et la politique agricole commune et est donc particulièrement touché.,1,1
" Nous sommes probablement le groupe le plus actif et sans doute le groupe le plus actif depuis covide, avec plus de 5000 initiatives présentées, bien en avance sur les autres groupes parlementaires.",1,1
 Can we or will they not impose that precondition?,0,0
 España es en estos momentos un destino seguro.,1,0
 Buenos días.,0,0
" Por tanto estaríamos hablando de unos ingresos netos de unos 5000 millones de euros anuales en transferencias directas a proyectos específicos, lo cual está muy bien.",1,1
 Ha hecho un ataque intolerable con nombre y apellidos contra periodistas concretos que solo hacían su trabajo.,0,1
" Y es verdad que el incumplimiento del déficit o el ocultamiento de esas dos décimas de 3000 millones de euros o ese despilfarro, nuestra opinión de expertos electorales de los viernes electorales, cuando estaba creciendo al 2,1 por ciento y teniendo un récord de recaudación en el ejercicio 19 y sobre todo la tardanza en seguir aplicando reformas o la amenaza de derogar algunas de las que han permitido crecer a España.",1,1
" La main, Madame pasteur, c’est que ma question que vous aviez, c’est que c’est très important parce qu’il y a un débat doctrinal à ce sujet.",0,0
" C’est-à-dire que lorsque le président du gouvernement dit qu’il mettra fin aux forces en 2018, nous sommes en 2020 et nous poursuivons tous les efforts et le Parti populaire et le Parti socialiste ont toujours entravé tous nos efforts à cet égard pour mettre fin aux efforts.",1,1
 Nous pensons que nous faisons nos devoirs.,0,0
" Last week I would like to remind you that Mr Edmundo Bal asked you a question at parliamentary headquarters, which did not answer",1,1
", In order to generate more human resources wherever it is necessary to establish a layout of the spaces of the spaces through small works provisions that allow effectively, that the distances established by law are observed, that allow it and that allow to observe the sanitary measures that are more cleaning more cleaning more hand washing, more distance indeed, and more ventilation.",0,0
 I would also like to remind you that in relation to this information His Majesty King Philip the sixth already once renounced the inheritance he may have from the private or private funds of the emeritus King and the emeritus King was completely decoued or disassociated from the emeritus King of any kind of representative function of the Kingdom of Spain.,1,1
" El verano pasado como he dicho fueron 69 motoristas los que fallecieron, siete más que el año anterior.",1,1
" Given all that has happened, I mean, the relevance of the monarchical debate, obviously the Corona Virus pandemic, with all that that agreement entails, should be revised to add some of these issues to prioritize this for others.",0,0
" Nosotros no vamos a apoyar una subida de impuestos, no lo vamos a hacer, pero sí hemos propuesto un plan de acción, un plan de choque mejor dicho, contra las consecuencias económicas del coronavirus para extenderlo hasta final de año o incluso incluso hasta el final del primer trimestre del año venidero.",1,0
" La suspensión de los procedimientos de desahucio y de los lanzamientos, la moratoria y quitas de hasta el 50 por ciento de la renta del alquiler de grandes tenedores.",0,1
" Nos merece la pena no, no ayudar a algo que parece estratégico en este momento en España desde el Gobierno central y abandonar este tipo de empresas, porque hay que hacer una reconversión por hacerla.",0,0
" Estamos en ello, claro como no podría ser de otra manera.",0,0
 The same legal question he raised about whether the issue of the manager of Pablo Iglesias was a matter of government or a purely personal matter.,0,0
 Hace más de dos meses y medio que Pedro Sánchez no llama a Pablo Casado.,1,1
 Je vous demande quand le deuxième cycle de négociations sera-t-il soulevé sur les futures relations de l’Espagne avec Gibraltar?,0,0
" Nous précisons clairement que la conditionnalité de ces ressources qui sont des transferts et non des prêts, contrairement à la crise précédente, du moins dans une moindre mesure dans la moitié des ressources, est pratiquement conditionnelle à utiliser.",1,1
" Pudimos observar que también el número de siniestros acontecía de una forma importante en desplazamientos cortos, porque ahí es donde hay que extremar las prudencia, donde se puede observar que hay un exceso de confianza en esos desplazamientos cortos donde todos los hacemos solos.",1,0
" According to the latest data from the World Health Organization, they have tripled in recent weeks.",1,1
" No repitamos el mismo error que Sánchez no tropieza dos veces en la misma piedra que esté atento, que esté vigilante y que esté sobre todo rápido.",0,0
 Le premier était de facturer un avantage.,0,0
 The People's Party is crunching because it is accusing the government of not telling the truth.,0,0
" Ya vimos en pleno pico de la pandemia, como incluso rechazó la ayuda de la UME, como mandó desmantelar hospitales, simplemente porque o bien les había montado la Guardia Civil o bien los había montado el ejército cuando no había camas en los hospitales, cuando la gente estaba agonizando en sus casas, fue capaz de rechazar esta ayuda y a día de hoy sigue sin pedir la ayuda necesaria.",1,1
 Très bon matin ministre.,0,0
 Hemos sido un destino muy resiliente en los años anteriores donde destinos competitivos eran una amenaza.,1,1
 Por eso vuelve a ocultar las siglas del Partido Popular de su campaña.,0,0
" Et bien sûr, c’est une très bonne nouvelle qu’Alberto Jijo, de la Direction nationale du Parti populaire.",0,0
" Pues estableciendo compromisos políticos, estableciendo compromisos políticos.",0,0
 Gracias por escuchar los podcast de Radio Nacional.,0,0
 Les communautés autonomes du Parti populaire l’ont mis en place.,1,1
" Mais si nous l’avons déjà dit dans le mois, en Juillet lorsque le décret de la nouvelle normale a été traitée, que de nombreuses mesures ont dû être prises.",1,1
" Son objectif n’est en aucun cas de modifier les données et les chiffres des portails immobiliers et sans aucun doute une contribution précieuse, même s’il s’agit d’une information plus limitée et partielle, plus destinée au marché lui-même.",0,0
 Il a donné les données que près de la moitié des travailleurs protégés par les edes à Malaga ont déjà rejoint leur activité touristique et ont également été incorporés avec un contrat.,1,1
" Eso sí se plantea en el ámbito jurídico, se plantea en el ámbito económico ese plan en el ámbito sanitario que ayer el presidente Casado presentaba a los españoles y planteaba al Gobierno de España, es nuestra manera de ejercer una oposición leal con los españoles.",0,0
" No es culpa del Partido Popular es culpa del Gobierno, que es al que hay que pedirle cuentas.",0,0
" It was already used in the Balearic Islands, which we were able to open on June 15 with Germany",1,1
 Nous allons travailler sur des solutions et nous ne les laisserons pas à l’école si je suis assis dans la chaise si vous rencontrez une partie du gouvernement.,0,0
" En el año 2013 hace siete años, trasladé unas preguntas al Gobierno entonces del Partido Popular que no me quisieron responder sobre estas mismas operaciones.",1,1
" Europa en su conjunto es más fuerte que los países compitiendo de manera individual y compitiendo entre entre nosotros y por tanto, sería un error que no fuéramos a ese modelo y que España no apostara por ello en las últimas horas.",1,1
 Casi el 13 por ciento de nuestro PIB depende de ese sector y estamos viendo cómo esa sensación de seguridad en los aeropuertos o esa recepción de turistas está siendo parte de nuestra sociedad se sientan en algún modo inseguro.,1,1
 Well I think they know perfectly well because we're in constant communication with them.,0,0
" Puis, en Espagne, il n’y avait que deux entreprises familiales qui fabriquaient des respirateurs.",1,1
" Pero viendo que un señor adulto de 82 años, retirado de la vida pública que ya no tiene responsable institucional, que tampoco está en los Presupuestos Generales del Estado, se va voluntariamente porque le da la gana y ya está.",1,1
" También acudo al informe que hizo público ayer el Ministerio de Sanidad en el que se lee que el segundo grupo de brotes más frecuentes son aquellos que tienen que ver con el ámbito laboral alrededor del 27 por ciento y dentro del ámbito laboral, los brotes relacionados con trabajadores del sector hortofrutícola en situaciones de vulnerabilidad 27 brotes, 410 casos o ministros.",1,1
 Le premier doit être rappelé en 11 ans en tant que ministre des Affaires étrangères à La Roca.,1,0
" Dos, el refuerzo que tenemos que hacer de nuestra atención primaria tenía que estar hecho ya, porque tenemos unos datos que son los peores de Europa, tenemos más contagiados que nadie.",1,1
" Desde hace diez años votar la congelación de las pensiones, como pasó en mayo del 2010, recortar el sueldo de los funcionarios aquí en álava también preocupa muchísimo, como hizo Sánchez en el 2010, en otra crisis que negaba a Zapatero con brotes verdes gama alta del éxito, etcétera etcétera.",1,1
 Europa tiene el mayor exceso de muertes de los países de la OCDE junto con Sudáfrica.,1,1
" Vuelta otra vez a lo mismo más contagiados que nadie, más personas hospitalizadas y más sanitarios contagiados.",1,1
" Legalmente es cierto que está establecida, pero entendemos que cubre la actividad mientras ejerció el cargo a partir de 2014.",1,1
 Es decir yo creo que tenemos que estar vigilantes para que la respuesta no nos confundamos en la dirección de aquello que estamos promoviendo.,0,0
